Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      2.53     0.00     1141     0.00     0.00  sub_framework::SubEpollEvent::_event_add(int, int)
  0.00      2.53     0.00     1141     0.00     0.00  sub_framework::SubServer::_set_nonblocking(int)
  0.00      2.53     0.00     1140     0.00     0.00  sub_framework::ReqTask::_set_task_data(void*)
  0.00      2.53     0.00     1140     0.00     0.00  sub_framework::ReqTask::ReqTask(std::string const&)
  0.00      2.53     0.00     1140     0.00     0.00  sub_framework::SubTask::SubTask()
  0.00      2.53     0.00     1140     0.00     0.00  sub_framework::SubServer::_on_http_read(int)
  0.00      2.53     0.00     1140     0.00     0.00  __gnu_cxx::new_allocator<sub_framework::SubTask*>::construct(sub_framework::SubTask**, sub_framework::SubTask* const&)
  0.00      2.53     0.00     1140     0.00     0.00  std::deque<sub_framework::SubTask*, std::allocator<sub_framework::SubTask*> >::push_back(sub_framework::SubTask* const&)
  0.00      2.53     0.00     1140     0.00     0.00  std::queue<sub_framework::SubTask*, std::deque<sub_framework::SubTask*, std::allocator<sub_framework::SubTask*> > >::push(sub_framework::SubTask* const&)
  0.00      2.53     0.00     1140     0.00     0.00  std::_Rb_tree<int, std::pair<int const, sub_framework::recv_buf*>, std::_Select1st<std::pair<int const, sub_framework::recv_buf*> >, std::less<int>, std::allocator<std::pair<int const, sub_framework::recv_buf*> > >::_M_insert_(std::_Rb_tree_node_base const*, std::_Rb_tree_node_base const*, std::pair<int const, sub_framework::recv_buf*> const&)
  0.00      2.53     0.00     1140     0.00     0.00  std::_Rb_tree<int, std::pair<int const, sub_framework::recv_buf*>, std::_Select1st<std::pair<int const, sub_framework::recv_buf*> >, std::less<int>, std::allocator<std::pair<int const, sub_framework::recv_buf*> > >::_M_insert_unique(std::pair<int const, sub_framework::recv_buf*> const&)
  0.00      2.53     0.00     1140     0.00     0.00  std::_Rb_tree<int, std::pair<int const, sub_framework::recv_buf*>, std::_Select1st<std::pair<int const, sub_framework::recv_buf*> >, std::less<int>, std::allocator<std::pair<int const, sub_framework::recv_buf*> > >::_M_insert_unique_(std::_Rb_tree_const_iterator<std::pair<int const, sub_framework::recv_buf*> >, std::pair<int const, sub_framework::recv_buf*> const&)
  0.00      2.53     0.00     1074     0.00     0.00  sub_framework::SubServer::_on_accept(int)
  0.00      2.53     0.00      857     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      2.53     0.00      851     0.00     0.00  __gnu_cxx::new_allocator<char*>::allocate(unsigned long, void const*)
  0.00      2.53     0.00      851     0.00     0.00  __gnu_cxx::__normal_iterator<char**, std::vector<char*, std::allocator<char*> > >::difference_type __gnu_cxx::operator-<char**, std::vector<char*, std::allocator<char*> > >(__gnu_cxx::__normal_iterator<char**, std::vector<char*, std::allocator<char*> > > const&, __gnu_cxx::__normal_iterator<char**, std::vector<char*, std::allocator<char*> > > const&)
